x	y	label	showSelected1	group
0.5	-0.05	Bacillus	Bacillus, Bradyrhizobium	34
0.5	-0.05	Bacillus	Bacillus, Burkholderia	35
0.5	-0.05	Bacillus	Bacillus, Cellvibrio	36
0.5	-0.05	Bacillus	Bacillus, Chitinophaga	39
0.5	-0.05	Bacillus	Bacillus, Flavobacterium	41
0.5	-0.05	Bacillus	Bacillus, Gp16	42
0.5	-0.05	Bacillus	Bacillus, Gp6	43
0.5	-0.05	Bacillus	Bacillus, Kaistia	45
0.5	-0.05	Bacillus	Bacillus, Labrys	46
0.5	-0.05	Bacillus	Bacillus, Luteibacter	47
0.5	-0.05	Bacillus	Bacillus, Mucilaginibacter	50
0.5	-0.05	Bacillus	Bacillus, Mycobacterium	52
0.5	-0.05	Bacillus	Bacillus, Paenibacillus	54
0.5	-0.05	Bacillus	Bacillus, Pedobacter	55
0.5	-0.05	Bacillus	Bacillus, Pseudomonas	58
0.5	-0.05	Bacillus	Bacillus, Rhizobium	59
0.5	-0.05	Bacillus	Bacillus, Spartobacteria_genera_incertae_sedis	61
0.5	-0.05	Bacillus	Bacillus, Sphingomonas	62
0.5	-0.05	Bacillus	Bacillus, Absidia	32
0.5	-0.05	Bacillus	Bacillus, Amphinema	33
0.5	-0.05	Bacillus	Bacillus, Cenococcum	37
0.5	-0.05	Bacillus	Bacillus, Chaetomium	38
0.5	-0.05	Bacillus	Bacillus, Cryptococcus	40
0.5	-0.05	Bacillus	Bacillus, Inocybe	44
0.5	-0.05	Bacillus	Bacillus, Metarhizium	48
0.5	-0.05	Bacillus	Bacillus, Mortierella	49
0.5	-0.05	Bacillus	Bacillus, Mucor	51
0.5	-0.05	Bacillus	Bacillus, Ovicillium	53
0.5	-0.05	Bacillus	Bacillus, Penicillium	56
0.5	-0.05	Bacillus	Bacillus, Phialocephala	57
0.5	-0.05	Bacillus	Bacillus, Russula	60
0.5	-0.05	Bacillus	Bacillus, Tomentella	63
0.5	-0.05	Bacillus	Bacillus, Trichoderma	64
0.5	-0.05	Bacillus	Bacillus, Umbelopsis	65
0.5	-0.05	Bacillus	Bacillus, Wilcoxina	66
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Burkholderia	69
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Cellvibrio	70
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Chitinophaga	73
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Flavobacterium	75
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Gp16	76
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Gp6	77
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Kaistia	79
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Labrys	80
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Luteibacter	81
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Mucilaginibacter	84
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Mycobacterium	86
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Paenibacillus	88
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Pedobacter	89
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Pseudomonas	92
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Rhizobium	93
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Spartobacteria_genera_incertae_sedis	95
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Sphingomonas	96
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Absidia	67
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Amphinema	68
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Cenococcum	71
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Chaetomium	72
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Cryptococcus	74
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Inocybe	78
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Metarhizium	82
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Mortierella	83
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Mucor	85
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Ovicillium	87
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Penicillium	90
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Phialocephala	91
0.5	-0.05	Bradyrhizobium	Bradyrhizobium, Russula	94
