x	y	label	showSelected1	group
-0.05	0.5	Bradyrhizobium	Bacillus, Bradyrhizobium	34
-0.05	0.5	Burkholderia	Bacillus, Burkholderia	35
-0.05	0.5	Cellvibrio	Bacillus, Cellvibrio	36
-0.05	0.5	Chitinophaga	Bacillus, Chitinophaga	39
-0.05	0.5	Flavobacterium	Bacillus, Flavobacterium	41
-0.05	0.5	Gp16	Bacillus, Gp16	42
-0.05	0.5	Gp6	Bacillus, Gp6	43
-0.05	0.5	Kaistia	Bacillus, Kaistia	45
-0.05	0.5	Labrys	Bacillus, Labrys	46
-0.05	0.5	Luteibacter	Bacillus, Luteibacter	47
-0.05	0.5	Mucilaginibacter	Bacillus, Mucilaginibacter	50
-0.05	0.5	Mycobacterium	Bacillus, Mycobacterium	52
-0.05	0.5	Paenibacillus	Bacillus, Paenibacillus	54
-0.05	0.5	Pedobacter	Bacillus, Pedobacter	55
-0.05	0.5	Pseudomonas	Bacillus, Pseudomonas	58
-0.05	0.5	Rhizobium	Bacillus, Rhizobium	59
-0.05	0.5	Spartobacteria_genera_incertae_sedis	Bacillus, Spartobacteria_genera_incertae_sedis	61
-0.05	0.5	Sphingomonas	Bacillus, Sphingomonas	62
-0.05	0.5	Absidia	Bacillus, Absidia	32
-0.05	0.5	Amphinema	Bacillus, Amphinema	33
-0.05	0.5	Cenococcum	Bacillus, Cenococcum	37
-0.05	0.5	Chaetomium	Bacillus, Chaetomium	38
-0.05	0.5	Cryptococcus	Bacillus, Cryptococcus	40
-0.05	0.5	Inocybe	Bacillus, Inocybe	44
-0.05	0.5	Metarhizium	Bacillus, Metarhizium	48
-0.05	0.5	Mortierella	Bacillus, Mortierella	49
-0.05	0.5	Mucor	Bacillus, Mucor	51
-0.05	0.5	Ovicillium	Bacillus, Ovicillium	53
-0.05	0.5	Penicillium	Bacillus, Penicillium	56
-0.05	0.5	Phialocephala	Bacillus, Phialocephala	57
-0.05	0.5	Russula	Bacillus, Russula	60
-0.05	0.5	Tomentella	Bacillus, Tomentella	63
-0.05	0.5	Trichoderma	Bacillus, Trichoderma	64
-0.05	0.5	Umbelopsis	Bacillus, Umbelopsis	65
-0.05	0.5	Wilcoxina	Bacillus, Wilcoxina	66
-0.05	0.5	Burkholderia	Bradyrhizobium, Burkholderia	69
-0.05	0.5	Cellvibrio	Bradyrhizobium, Cellvibrio	70
-0.05	0.5	Chitinophaga	Bradyrhizobium, Chitinophaga	73
-0.05	0.5	Flavobacterium	Bradyrhizobium, Flavobacterium	75
-0.05	0.5	Gp16	Bradyrhizobium, Gp16	76
-0.05	0.5	Gp6	Bradyrhizobium, Gp6	77
-0.05	0.5	Kaistia	Bradyrhizobium, Kaistia	79
-0.05	0.5	Labrys	Bradyrhizobium, Labrys	80
-0.05	0.5	Luteibacter	Bradyrhizobium, Luteibacter	81
-0.05	0.5	Mucilaginibacter	Bradyrhizobium, Mucilaginibacter	84
-0.05	0.5	Mycobacterium	Bradyrhizobium, Mycobacterium	86
-0.05	0.5	Paenibacillus	Bradyrhizobium, Paenibacillus	88
-0.05	0.5	Pedobacter	Bradyrhizobium, Pedobacter	89
-0.05	0.5	Pseudomonas	Bradyrhizobium, Pseudomonas	92
-0.05	0.5	Rhizobium	Bradyrhizobium, Rhizobium	93
-0.05	0.5	Spartobacteria_genera_incertae_sedis	Bradyrhizobium, Spartobacteria_genera_incertae_sedis	95
-0.05	0.5	Sphingomonas	Bradyrhizobium, Sphingomonas	96
-0.05	0.5	Absidia	Bradyrhizobium, Absidia	67
-0.05	0.5	Amphinema	Bradyrhizobium, Amphinema	68
-0.05	0.5	Cenococcum	Bradyrhizobium, Cenococcum	71
-0.05	0.5	Chaetomium	Bradyrhizobium, Chaetomium	72
-0.05	0.5	Cryptococcus	Bradyrhizobium, Cryptococcus	74
-0.05	0.5	Inocybe	Bradyrhizobium, Inocybe	78
-0.05	0.5	Metarhizium	Bradyrhizobium, Metarhizium	82
-0.05	0.5	Mortierella	Bradyrhizobium, Mortierella	83
-0.05	0.5	Mucor	Bradyrhizobium, Mucor	85
-0.05	0.5	Ovicillium	Bradyrhizobium, Ovicillium	87
-0.05	0.5	Penicillium	Bradyrhizobium, Penicillium	90
-0.05	0.5	Phialocephala	Bradyrhizobium, Phialocephala	91
-0.05	0.5	Russula	Bradyrhizobium, Russula	94
-0.05	0.5	Tomentella	Bradyrhizobium, Tomentella	97
-0.05	0.5	Trichoderma	Bradyrhizobium, Trichoderma	98
-0.05	0.5	Umbelopsis	Bradyrhizobium, Umbelopsis	99
-0.05	0.5	Wilcoxina	Bradyrhizobium, Wilcoxina	100
-0.05	0.5	Cellvibrio	Burkholderia, Cellvibrio	103
-0.05	0.5	Chitinophaga	Burkholderia, Chitinophaga	106
-0.05	0.5	Flavobacterium	Burkholderia, Flavobacterium	108
-0.05	0.5	Gp16	Burkholderia, Gp16	109
-0.05	0.5	Gp6	Burkholderia, Gp6	110
-0.05	0.5	Kaistia	Burkholderia, Kaistia	112
-0.05	0.5	Labrys	Burkholderia, Labrys	113
-0.05	0.5	Luteibacter	Burkholderia, Luteibacter	114
-0.05	0.5	Mucilaginibacter	Burkholderia, Mucilaginibacter	117
-0.05	0.5	Mycobacterium	Burkholderia, Mycobacterium	119
-0.05	0.5	Paenibacillus	Burkholderia, Paenibacillus	121
-0.05	0.5	Pedobacter	Burkholderia, Pedobacter	122
-0.05	0.5	Pseudomonas	Burkholderia, Pseudomonas	125
-0.05	0.5	Rhizobium	Burkholderia, Rhizobium	126
